Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1959,38.0,15.0,287.0,898.0,2234.0,3957.0,1210.0,1689.0,731.0,539.0,0.0,0.0
1960,0.0,0.0,68.0,316.0,1477.0,,,,,,,
1961,3600.0,0.0,,,,,,,,,,
1962,47.0,43.0,10.0,401.0,738.0,1992.0,1594.0,1753.0,61.0,208.0,0.0,0.0
1963,0.0,1.0,92.0,293.0,3764.0,1382.0,36.0,0.0,,,,
1964,30.0,,,,,,,,,,,
1965,0.0,,,,,,,,,,,
1966,9.0,0.0,18.0,380.0,462.0,5832.0,1874.0,2196.0,380.0,152.0,92.0,11.0
1967,16.0,19.0,166.0,534.0,835.0,1618.0,2647.0,1007.0,1037.0,133.0,4.0,0.0
1968,15.0,22.0,159.0,706.0,1666.0,3496.0,3145.0,1187.0,507.0,219.0,1.0,0.0
1969,20.0,0.0,132.0,382.0,517.0,2619.0,2240.0,294.0,120.0,47.0,2.0,
1970,106.0,30.0,578.0,1129.0,2128.0,3361.0,4750.0,1648.0,1595.0,1191.0,45.0,0.0
1971,35.0,15.0,67.2,430.6,288.7,2239.8,2082.9,2047.1,542.1,459.1,254.2,0.0
1972,0.2,334.1,810.4,2912.3,1958.2,856.0,604.3,184.3,0.0,0.0,,
1973,14.9,137.7,7.7,1414.1,969.7,3125.8,2326.8,1044.5,1177.0,181.1,380.9,121.5
1974,2.2,0.0,200.0,1844.6,852.0,3048.4,8246.8,2919.9,1876.5,11.7,0.0,
1975,4.8,24.4,26.2,1470.6,1257.0,1673.8,4097.8,1133.3,1057.7,1108.2,38.6,0.0
1976,0.0,15.4,865.2,586.4,474.4,2630.1,1625.5,2006.4,285.6,183.6,7.0,0.0
1977,4.4,61.6,656.8,1480.2,1867.0,2059.0,2120.4,2764.0,430.5,592.6,62.3,15.1
1978,0.0,19.2,72.7,210.9,840.4,2135.8,2140.0,623.4,602.4,222.4,43.7,0.0
1979,0.0,11.4,109.4,324.6,1667.0,1346.8,4006.0,1179.5,1857.8,1478.4,35.4,58.0
1980,1.2,68.4,21.2,74.0,0.0,18.4,47.4,49.2,0.0,4.0,0.0,0.0
1981,37.0,21.0,178.0,375.0,764.0,163.0,384.0,1389.0,857.0,23.0,0.0,123.0
1982,0.0,14.0,40.0,751.0,766.0,2262.0,3078.0,1823.0,1630.0,60.0,43.0,1.0
1983,113.0,419.0,428.0,1316.0,3195.0,2085.0,1798.0,323.0,1.0,42.0,,
1984,17.0,0.0,137.0,871.0,3961.0,2260.0,5396.0,1070.0,2560.0,292.0,7.0,102.0
1985,7.0,39.0,831.0,1040.0,1069.0,2708.0,3667.0,1634.0,746.0,32.0,2.0,22.0
1986,11.0,0.0,54.0,1411.0,154.0,1429.0,1909.0,1342.0,1056.0,607.0,155.0,
1987,20.0,306.0,652.0,119.0,,,,,,,,
1988,12.0,83.0,151.0,374.0,1658.0,2289.0,3819.0,4621.0,1735.0,876.0,291.0,112.0
1989,29.0,197.0,21.0,1670.0,106.0,2601.0,4585.0,1080.0,869.0,41.0,3.0,
1990,19.0,61.0,155.0,30.0,,,,,,,,
1991,89.0,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,367.0,264.0,3020.0,275.0,,,,,,,,
1994,76.0,143.0,341.0,479.0,74.0,,,,,,,
1995,50.0,26.0,,,,,,,,,,
1996,5.0,0.0,629.0,805.0,209.0,1754.0,3870.0,1676.1,289.0,160.5,0.0,0.0
1997,6.0,38.0,47.0,312.0,850.0,1884.0,2224.0,1364.0,1468.0,20.0,12.0,
1998,124.0,363.0,265.0,1481.0,368.0,2207.0,495.0,98.0,0.0,,,
1999,0.0,0.0,44.0,125.0,1221.0,1355.0,2832.0,1427.0,402.0,627.0,1.0,3.0
2000,28.0,1314.0,1762.0,327.0,1638.0,2731.0,1040.0,275.0,,,,
2001,27.0,2021.0,2519.0,1097.0,542.0,27.0,0.0,,,,,
2002,40.0,1.0,316.0,3843.0,3100.0,1291.0,947.0,69.0,1.0,,,
2003,5.0,24.0,163.0,406.0,374.0,3222.0,2927.0,1060.0,542.0,651.0,16.0,2.0
2004,4.0,13.0,1234.0,1365.0,1678.0,4775.0,498.0,947.0,1917.0,28.0,,
2005,6.0,27.0,524.0,560.0,625.0,2205.0,2343.0,2262.0,314.0,490.0,0.0,0.0
2006,0.0,75.0,908.0,2120.0,2310.0,1341.0,699.0,986.0,21.0,27.0,7.0,
2007,1.0,131.0,22.0,800.0,1081.0,2601.0,4133.0,974.0,1958.0,728.0,0.0,
2008,48.0,,,,,,,,,,,
